id;lat;lon
444;48.843094;2.3082141
445;48.841239;2.3147737
446;48.8441558;2.3224754
447;48.8402607;2.3146443
448;48.8380338;2.3080675
449;48.8433804;2.2998193
450;48.8438436;2.3056299
451;48.8441051;2.305187
452;48.8360828;2.3102989
453;48.836341;2.3029815
454;48.8400083;2.3140334
455;48.8398616;2.3146456
456;48.8455007;2.3092404
457;48.8433313;2.3047415
458;48.8411515;2.3013764
459;48.841227;2.302735
460;48.8431415;2.3040335
461;48.8617546;2.2741799
462;48.857788;2.2837992
463;48.8590529;2.28319
464;48.8545812;2.2819547
465;48.857606;2.2835809
466;48.8608853;2.2666352
467;48.862449;2.2804911
468;48.8596667;2.2753721
469;48.8617648;2.2738508
470;48.8571187;2.2693893
471;48.8576964;2.2836982
472;48.8672508;2.2779553
473;48.8561365;2.2677346
474;48.8577086;2.2812495
475;48.867322;2.2780894
476;48.8563168;2.2670249
477;48.8556359;2.2781859
478;48.8574323;2.283357
479;48.8587441;2.2803554
480;48.8575187;2.2834685
481;48.8617318;2.283479
482;48.8696922;2.2782669
483;48.8611978;2.2835082
484;48.8598747;2.2740225
485;48.8579549;2.2729588
486;48.8598459;2.2750917
487;48.854682;2.2763044
488;48.861916;2.2832286
489;48.8652952;2.2750333
490;48.8643086;2.2746947
491;48.857809;2.2774307
492;48.86167375;2.2692356597225416
493;48.855091;2.2733128
494;48.8621219;2.2830776
495;48.8571383;2.2828965
496;48.8612432;2.2831557
497;48.8585171;2.2851441
498;48.854956;2.2706705
499;48.8587201;2.2730219
500;48.8681285;2.274591
501;48.8597597;2.2818367
502;48.861199;2.2862995
503;48.8598227;2.2816807
504;48.8594856;2.2792141
505;48.8605499;2.2771133
506;48.8620301;2.2821777
507;48.8667647;2.2720393
508;48.8595888;2.2867461
509;48.8647737;2.2725075
510;48.8576844;2.2728403
511;48.866402;2.2786118
512;48.8579131;2.2779615
513;48.8613739;2.2756107
514;48.8605499;2.2771133
515;48.8556924;2.2702449
516;48.8603713;2.2777641
517;48.858537;2.2777291
518;48.8601953;2.2814952
519;48.8561893;2.2747443
520;48.8543148;2.2748767
521;48.8603887;2.2860089
522;48.856124;2.2716921
523;48.8593492;2.2763997
524;48.8629543;2.2769082
525;48.855017;2.2695361
526;48.8711815;2.2781368
527;48.8636346;2.2793536
528;48.8585976;2.2823748
529;48.863031;2.2779901
530;48.8585685;2.2885027
531;48.8600494;2.2799399
532;48.8635182;2.272534
533;48.8548457;2.2732371
534;48.8603619;2.2809337
535;48.8608446;2.276303
536;48.861366;2.2788711
537;48.8572498;2.2817956
538;48.8590775;2.2749981
539;48.8584017;2.2793792
540;48.8597007;2.2784929
541;48.8609872;2.279827
542;48.8611042;2.279618
543;48.8552497;2.2716505
544;48.8593025;2.2778065
545;48.8564144;2.269939
546;48.8616168;2.2744958
547;48.8565609;2.2783157
548;48.8662005;2.2788121
549;48.8594542;2.2776594
550;48.8557628;2.2696486
551;48.8646564;2.2781004
552;48.8619243;2.2750103
553;48.8588491;2.2760602
554;48.8709683;2.276041
555;48.866716;2.2747378
556;48.8807549;2.3117793
557;48.8794725;2.3033275
558;48.8868503;2.3087576
559;48.8833378;2.3058827
560;48.8799928;2.3014649
561;48.8859322;2.2998346
562;48.8818816;2.3002176
563;48.8851543;2.3066947
564;48.8813087;2.302483
565;48.8849142;2.2985786
566;48.8857803;2.298096
567;48.8797147;2.3007675
568;48.8826826;2.3012898
569;48.8826229;2.3134848
570;48.8822643;2.3161425
571;48.8834303;2.3091419
572;48.8819524;2.3004728
573;48.8851693;2.308459
574;48.8866469;2.3025061
575;48.8838174;2.2955604
576;48.8862991;2.3159438
577;48.883541;2.2941259
578;48.882702;2.2997192
579;48.8847444;2.3075359
580;48.8817672;2.313755
581;48.8870006;2.2989781
582;48.8857145;2.3034962
583;48.8861455;2.3038104
584;48.8832923;2.2991265
585;48.8834853;2.2989332
586;48.884239;2.2978484
587;48.8877785;2.2998524
588;48.8862421;2.2942526
589;48.8838582;2.2985581
590;48.888527;2.302719
591;48.8854991;2.3143626
592;48.880144;2.300194
593;48.8868395;2.2950741
594;48.8851346;2.3046872
595;48.8811531;2.3091505
596;48.8808262;2.3100397
597;48.8830291;2.2997206
598;48.8839834;2.2901511
599;48.8799578;2.3042853
600;48.8818548;2.303433
601;48.8822543;2.3127945
602;48.8897162;2.2943133
603;48.8836976;2.3120027
604;48.8827039;2.3007778
605;48.8821185;2.3076772
606;48.8808706;2.3113696
607;48.8825992;2.307546
608;48.8830451;2.3146352
609;48.8851219;2.3042702
610;48.8831392;2.3145442
611;48.8856848;2.2974499
612;48.8882144;2.3098291
613;48.8820388;2.3116842
614;48.8834375;2.3182501
615;48.882876;2.2924088
616;48.8840813;2.3121451
617;48.885183;2.3020874
618;48.8809974;2.3031578
619;48.879303;2.3010631
620;48.8828583;2.3065399
621;48.8825885;2.3038149
622;48.8833385;2.293172
623;48.8852866;2.3061667
624;48.8814731;2.308391
625;48.8833347;2.3006325
626;48.8854211;2.3165195
627;48.884558;2.3058823
628;48.8801617;2.3070492
629;48.8816405;2.3143526
630;48.885978;2.297045
631;48.8872805;2.2967911
632;48.8824691;2.3095838
633;48.8844425;2.296847
634;48.8844196;2.2930421
635;48.8832998;2.3000222
636;48.8800048;2.3063139
637;48.8861817;2.3136659
638;48.8798208;2.3016495
639;48.8863963;2.3030042
640;48.8794438;2.3011296
641;48.8826852;2.3197089
642;48.8798393;2.3055493
643;48.8865147;2.3024731
644;48.8830404;2.2918081
645;48.8836667;2.2969808
646;48.8846693;2.3005207
647;48.8841986;2.2968206
648;48.8821118;2.3018983
649;48.8845008;2.2888822
650;48.8735391;2.3032494
651;48.8763775;2.2960002
652;48.8718265;2.3022902
653;48.8759828;2.2944153
654;48.8780928;2.2922143
655;48.8763416;2.2923243
656;48.8759315;2.2968733
