id;ddv;ddvs;rdv;mode;com;rec;motif;lun_m;lun_a;mar_m;mar_a;mer_m;mer_a;jeu_m;jeu_a;ven_m;ven_a
153;2024-02-23 10:30:00;[Timestamp('2024-02-23 10:30:00')];;;;;;09:00-12:00(R);;09:00-12:30(R);14:00-18:00(R);09:00-11:30(R);;09:30-13:00(R);14:00-19:00(R);09:00-12:30(R);14:00-18:00(R)
154;2024-01-17 11:00:00;[Timestamp('2024-01-17 11:00:00'), Timestamp('2023-09-28 10:00:00'), Timestamp('2023-06-28 11:00:00')];True;;;OUI;;09:30-12:30(R);14:00-18:30(R);09:30-13:30(R);14:00-17:00(R);;;09:30-12:30(R);14:00-18:30(R);09:30-13:00(R);14:00-19:00(R)
155;;[];;;;;;;;;;;;;;;
156;2024-02-05 17:00:00;[Timestamp('2024-02-05 17:00:00')];;;;;;;;;;;;;;;
157;;[];;;;;;;;13:00-14:00(R);14:00-17:00(R);;;;;13:00-14:00(R);14:00-17:00(R)
158;2023-09-14 16:15:00;[Timestamp('2023-09-14 16:15:00'), Timestamp('2023-06-30 15:30:00')];;RDV;;;;;;;;;;;;;
159;;[];;;;;;08:00-13:00(R);;08:30-14:00(R);14:00-20:00(R);13:00-14:00(R);14:00-20:00(R);;16:00-18:00(R);;16:00-18:00(R)
160;2024-01-29 14:30:00;[Timestamp('2024-01-29 14:30:00'), Timestamp('2023-07-26 13:00:00')];;;;;;;;;;;;;;;
161;2024-02-27 15:30:00;[Timestamp('2024-02-27 15:30:00'), Timestamp('2023-12-06 11:30:00')];;;;;;;;;;;;;;;
162;2024-02-16 13:00:00;[Timestamp('2024-02-16 13:00:00')];;;;;;;;;;;;;;;
163;;[];;;;;;;;;;;;;;;
164;2024-03-01 09:30:00;[Timestamp('2024-03-01 09:30:00')];;;;;;;;;;;;;;;
165;;[];;;;;;;;;;;;;;;
166;;[];;;;;;;;;;;;;;;
167;2023-07-11 14:00:00;[Timestamp('2023-07-11 14:00:00')];;;;;;;;;;;;;;;
168;2024-01-30 13:00:00;[Timestamp('2024-01-30 13:00:00'), Timestamp('2023-07-05 10:00:00')];;;;;;09:15-14:00(R);14:00-19:30(R);09:15-14:00(R);14:00-19:30(R);09:15-14:00(R);14:00-19:30(R);;;09:15-14:00(R);14:00-19:30(R)
169;2023-10-11 13:30:00;[Timestamp('2023-10-11 13:30:00')];;;;;;;;;;;;;;;
170;2024-02-06 12:00:00;[Timestamp('2024-02-06 12:00:00'), Timestamp('2023-10-10 11:30:00')];;;;;;;;;;;;;;;
171;;[];;;;;;;;;;;;;;;
172;;[];;;;;;;;;;;;;;;
173;2024-01-23 14:30:00;[Timestamp('2024-01-23 14:30:00')];True;;;OUI;;10:00-13:00(R);15:00-19:00(R);10:00-13:30(R);15:00-19:00(D);10:00-14:00(D);14:30-19:00(R);10:00-13:30(R);15:00-19:00(D);10:00-14:00(D);14:30-19:00(R)
174;;[];;;;;;;;;;;;;;;
175;;[];;;;;;09:00-12:00(R);14:00-17:00(R);09:00-12:00(R);14:00-17:00(R);09:00-12:00(R);14:00-17:00(R);09:00-12:00(R);14:00-17:00(R);09:00-12:00(R);14:00-18:00(R)
176;;[];;;;;;;;;;;;;;;
177;;[];;;;;;09:00-11:00(R);;09:00-11:00(R);14:00-18:30(R);09:00-11:00(R);14:00-18:30(R);09:00-11:00(R);14:00-18:30(R);09:00-11:00(R);14:00-18:30(R)
